Class,Sepal_Length(cm),Sepal_Width(cm),Petal_Length(cm),Petal_Width(cm),,
Iris-setosa,5.2,4.1,1.5,0.1,0.012933196,1
Iris-setosa,5.4,3.7,1.5,0.2,0.020896784,2
Iris-setosa,4.9,3.1,1.5,0.1,0.023317422,3
Iris-virginica,6.4,2.7,5.3,1.9,0.025738717,4
Iris-virginica,6.4,2.8,5.6,2.2,0.030496961,5
Iris-setosa,4.9,3,1.4,0.2,0.031616581,6
Iris-setosa,4.7,3.2,1.3,0.2,0.032477364,7
Iris-setosa,5.3,3.7,1.5,0.2,0.03978375,8
Iris-virginica,6.9,3.2,5.7,2.3,0.041912601,9
Iris-versicolor,6.3,2.5,4.9,1.5,0.047764592,10
Iris-virginica,7.7,3,6.1,2.3,0.05698131,11
Iris-setosa,4.5,2.3,1.3,0.3,0.058155815,12
Iris-virginica,6.9,3.1,5.4,2.1,0.058994783,13
Iris-setosa,5.1,3.8,1.5,0.3,0.061749437,14
Iris-virginica,7.2,3.2,6,1.8,0.079973483,15
Iris-virginica,6.4,3.1,5.5,1.8,0.079996171,16
Iris-setosa,5,3.2,1.2,0.2,0.082827508,17
Iris-virginica,6.1,2.6,5.6,1.4,0.090502218,18
Iris-setosa,4.8,3.1,1.6,0.2,0.091756551,19
Iris-virginica,6.3,2.5,5,1.9,0.092229055,20
Iris-versicolor,6.6,2.9,4.6,1.3,0.092738783,21
Iris-virginica,5.8,2.7,5.1,1.9,0.093749528,22
Iris-virginica,6.5,3,5.2,2,0.104105126,23
Iris-virginica,7.1,3,5.9,2.1,0.114573462,24
Iris-virginica,4.9,2.5,4.5,1.7,0.120960758,25
Iris-setosa,5.8,4,1.2,0.2,0.128384149,26
Iris-setosa,5.5,3.5,1.3,0.2,0.137838121,27
Iris-virginica,6.1,3,4.9,1.8,0.150416445,28
Iris-virginica,7.2,3,5.8,1.6,0.153701698,29
Iris-setosa,4.8,3.4,1.6,0.2,0.159770239,30
Iris-setosa,5.7,3.8,1.7,0.3,0.176490918,31
Iris-versicolor,5.5,2.6,4.4,1.2,0.186749378,32
Iris-versicolor,5.6,2.9,3.6,1.3,0.190708811,33
Iris-versicolor,6.1,2.8,4,1.3,0.195903636,34
Iris-virginica,7.7,2.8,6.7,2,0.200681951,35
Iris-virginica,6,2.2,5,1.5,0.202290264,36
Iris-virginica,6.4,2.8,5.6,2.1,0.209184157,37
Iris-versicolor,5.8,2.6,4,1.2,0.209407449,38
Iris-versicolor,6.2,2.9,4.3,1.3,0.217671329,39
Iris-versicolor,6.9,3.1,4.9,1.5,0.220494416,40
Iris-setosa,5.1,3.3,1.7,0.5,0.231836889,41
Iris-virginica,6.2,3.4,5.4,2.3,0.235160375,42
Iris-versicolor,6.3,2.3,4.4,1.3,0.242150855,43
Iris-versicolor,6.1,2.8,4.7,1.2,0.277475611,44
Iris-virginica,6.3,2.7,4.9,1.8,0.287291152,45
Iris-setosa,5.1,3.8,1.6,0.2,0.288199681,46
Iris-virginica,6.3,3.4,5.6,2.4,0.29597489,47
Iris-virginica,5.6,2.8,4.9,2,0.298747506,48
Iris-virginica,7.7,3.8,6.7,2.2,0.310410398,49
Iris-setosa,5.1,3.4,1.5,0.2,0.319361428,50
Iris-setosa,4.3,3,1.1,0.1,0.331735135,51
Iris-setosa,5,3.3,1.4,0.2,0.333535723,52
Iris-versicolor,6,2.7,5.1,1.6,0.335862174,53
Iris-versicolor,6.7,3,5,1.7,0.340409408,54
Iris-versicolor,5.9,3.2,4.8,1.8,0.342724355,55
Iris-versicolor,5.7,2.9,4.2,1.3,0.346171367,56
Iris-versicolor,6.8,2.8,4.8,1.4,0.349441649,57
Iris-versicolor,6.6,3,4.4,1.4,0.35997209,58
Iris-setosa,5.1,3.5,1.4,0.2,0.3714111,59
Iris-virginica,6.7,2.5,5.8,1.8,0.390109501,60
Iris-virginica,6,3,4.8,1.8,0.394275446,61
Iris-versicolor,5.7,2.8,4.1,1.3,0.395992321,62
Iris-versicolor,5.6,2.5,3.9,1.1,0.401079707,63
Iris-virginica,6.7,3,5.2,2.3,0.407949342,64
Iris-setosa,4.8,3,1.4,0.3,0.416378664,65
Iris-setosa,5.4,3.4,1.7,0.2,0.42434066,66
Iris-virginica,6.3,2.8,5.1,1.5,0.424466013,67
Iris-setosa,5.1,3.7,1.5,0.4,0.444860589,68
Iris-virginica,6.4,3.2,5.3,2.3,0.449436289,69
Iris-setosa,4.6,3.6,1,0.2,0.457925229,70
Iris-versicolor,5.5,2.3,4,1.3,0.458192787,71
Iris-versicolor,6.1,2.9,4.7,1.4,0.469977885,72
Iris-versicolor,6.4,2.9,4.3,1.3,0.484170392,73
Iris-versicolor,6,3.4,4.5,1.6,0.486731597,74
Iris-setosa,5.2,3.5,1.5,0.2,0.488247186,75
Iris-virginica,7.6,3,6.6,2.1,0.495861635,76
Iris-setosa,5.5,4.2,1.4,0.2,0.498875549,77
Iris-versicolor,5.5,2.5,4,1.3,0.500843028,78
Iris-virginica,7.3,2.9,6.3,1.8,0.500879423,79
Iris-setosa,4.9,3.1,1.5,0.1,0.507903286,80
Iris-virginica,7.9,3.8,6.4,2,0.510165838,81
Iris-setosa,4.4,3.2,1.3,0.2,0.521448616,82
Iris-versicolor,4.9,2.4,3.3,1,0.521698697,83
Iris-versicolor,5.6,2.7,4.2,1.3,0.52505777,84
Iris-setosa,5,3.5,1.3,0.3,0.532723963,85
Iris-versicolor,5.2,2.7,3.9,1.4,0.533209387,86
Iris-versicolor,5.5,2.4,3.7,1,0.539209993,87
Iris-versicolor,6.3,3.3,4.7,1.6,0.547630673,88
Iris-versicolor,6.4,3.2,4.5,1.5,0.554009038,89
Iris-virginica,6.5,3,5.8,2.2,0.566592461,90
Iris-setosa,5,3,1.6,0.2,0.573956152,91
Iris-setosa,5.4,3.9,1.3,0.4,0.577699655,92
Iris-virginica,7.4,2.8,6.1,1.9,0.58168186,93
Iris-versicolor,5.7,2.8,4.5,1.3,0.591647427,94
Iris-versicolor,5.6,3,4.1,1.3,0.594544503,95
Iris-virginica,5.8,2.7,5.1,1.9,0.596092877,96
Iris-virginica,6.3,3.3,6,2.5,0.59988427,97
Iris-setosa,5,3.6,1.4,0.2,0.608469876,98
Iris-versicolor,5.1,2.5,3,1.1,0.615863762,99
Iris-virginica,6.5,3,5.5,1.8,0.617653549,100
Iris-versicolor,5.7,2.6,3.5,1,0.622193736,101
Iris-setosa,5.1,3.8,1.9,0.4,0.622286293,102
Iris-virginica,6.7,3.1,5.6,2.4,0.628115089,103
Iris-virginica,6.8,3,5.5,2.1,0.628168054,104
Iris-versicolor,5.9,3,4.2,1.5,0.653764567,105
Iris-versicolor,6.7,3.1,4.7,1.5,0.658385509,106
Iris-virginica,7.2,3.6,6.1,2.5,0.658450048,107
Iris-setosa,5.7,4.4,1.5,0.4,0.659514119,108
Iris-setosa,5,3.4,1.6,0.4,0.668536245,109
Iris-virginica,5.9,3,5.1,1.8,0.673495849,110
Iris-versicolor,7,3.2,4.7,1.4,0.678398544,111
Iris-setosa,5.1,3.5,1.4,0.3,0.692813872,112
Iris-virginica,6.8,3.2,5.9,2.3,0.709088632,113
Iris-setosa,4.9,3.1,1.5,0.1,0.746105904,114
Iris-virginica,6.7,3.3,5.7,2.1,0.752354444,115
Iris-versicolor,5.4,3,4.5,1.5,0.75268844,116
Iris-virginica,5.7,2.5,5,2,0.765441611,117
Iris-virginica,7.7,2.6,6.9,2.3,0.767290865,118
Iris-versicolor,6,2.2,4,1,0.768759486,119
Iris-versicolor,5.8,2.7,4.1,1,0.776804061,120
Iris-versicolor,5,2.3,3.3,1,0.778105905,121
Iris-versicolor,6.1,3,4.6,1.4,0.780921736,122
Iris-setosa,4.8,3,1.4,0.1,0.798805707,123
Iris-setosa,4.4,2.9,1.4,0.2,0.805360388,124
Iris-virginica,6.3,2.9,5.6,1.8,0.806646684,125
Iris-virginica,6.2,2.8,4.8,1.8,0.808554909,126
Iris-setosa,5,3.4,1.5,0.2,0.813448107,127
Iris-setosa,5,3.5,1.6,0.6,0.815793118,128
Iris-setosa,5.4,3.9,1.7,0.4,0.816545159,129
Iris-setosa,4.6,3.2,1.4,0.2,0.821664959,130
Iris-versicolor,5.5,2.4,3.8,1.1,0.822650316,131
Iris-versicolor,6.5,2.8,4.6,1.5,0.823311653,132
Iris-versicolor,5.7,3,4.2,1.2,0.832657138,133
Iris-setosa,4.6,3.1,1.5,0.2,0.853062413,134
Iris-virginica,6.5,3.2,5.1,2,0.863699003,135
Iris-virginica,5.8,2.8,5.1,2.4,0.865752998,136
Iris-setosa,4.8,3.4,1.9,0.2,0.872378376,137
Iris-setosa,4.7,3.2,1.6,0.2,0.885121175,138
Iris-setosa,5.2,3.4,1.4,0.2,0.890344705,139
Iris-versicolor,6.7,3.1,4.4,1.4,0.892447704,140
Iris-versicolor,5.6,3,4.5,1.5,0.901182441,141
Iris-setosa,5.4,3.4,1.5,0.4,0.904188966,142
Iris-versicolor,6.2,2.2,4.5,1.5,0.913382809,143
Iris-versicolor,5.8,2.7,3.9,1.2,0.925107062,144
Iris-virginica,6.7,3.3,5.7,2.5,0.93327213,145
Iris-setosa,4.6,3.4,1.4,0.3,0.955906802,146
Iris-setosa,4.4,3,1.3,0.2,0.956545242,147
Iris-virginica,6.9,3.1,5.1,2.3,0.975018053,148
Iris-versicolor,5,2,3.5,1,0.981200596,149
Iris-versicolor,6,2.9,4.5,1.5,0.983603948,150
