Number of Evaluations,Purity (Base),Purity (Evolved),Timing (s) (Base),Timing (s) (Evolved)
100,0.861111,0.872222,6.69667e-005,0.0002666
200,0.863333,0.964444,0.000116733,0.000183467
300,0.856667,0.966667,0.0001335,0.000150033
400,0.85,0.971111,0.000166733,0.0001335
500,0.854444,0.865556,0.000100067,0.0002001
600,0.85,0.86,0.000116733,0.0002001
700,0.851111,0.971111,0.000116733,0.0001668
800,0.856667,0.966667,0.000116433,0.000183767
900,0.856667,0.966667,8.34667e-005,0.000216767
1000,0.861111,0.964444,8.34333e-005,0.000150067
1100,0.863333,0.886667,0.0001,0.000366967
1200,0.856667,0.966667,0.000116733,0.0001835
1300,0.85,0.971111,6.67e-005,0.000183433
1400,0.854444,0.968889,0.000116733,0.000166933
1500,0.85,0.971111,8.34333e-005,0.000183367
1600,0.851111,0.971111,0.000133433,0.0001668
1700,0.856667,0.966667,0.000100033,0.0001668
1800,0.856667,0.966667,6.66667e-005,0.0002336
1900,0.861111,0.964444,8.32333e-005,0.000200133
2000,0.863333,0.964444,0.000116767,0.000183433
2100,0.856667,0.881111,5.00333e-005,0.000466967
2200,0.85,0.971111,0.000116767,0.000150133
2300,0.854444,0.872222,8.34e-005,0.000416933
2400,0.85,0.971111,5.00333e-005,0.000216533
2500,0.851111,0.971111,8.33667e-005,0.000200233
2600,0.856667,0.966667,8.34333e-005,0.0001837
2700,0.856667,0.881111,0.000116167,0.000217067
2800,0.861111,0.964444,4.99667e-005,0.0002005
2900,0.863333,0.862222,0.0001003,0.000333033
3000,0.856667,0.865555,0.0001168,0.0002335
3100,0.85,0.971111,8.34333e-005,0.000150333
3200,0.854444,0.968889,5.01e-005,0.0001834
3300,0.85,0.86,8.38e-005,0.000249767
3400,0.851111,0.865556,0.000116767,0.000233467
3500,0.856667,0.863333,0,0.000517033
3600,0.856667,0.865555,0.000100067,0.000250167
3700,0.861111,0.964444,5.00333e-005,0.000218067
3800,0.863333,0.87,0.000166667,0.000350367
3900,0.856667,0.89,0.000116767,0.000266733
4000,0.85,0.851111,5e-005,0.000300233
4100,0.854444,0.876667,8.33333e-005,0.000333633
4200,0.85,0.875556,4.99667e-005,0.000350333
4300,0.851111,0.86,8.33667e-005,0.000217133
4400,0.856667,0.966667,8.31e-005,0.000184033
4500,0.856667,0.966667,8.31333e-005,0.000267167
4600,0.861111,0.872222,0.000100267,0.000283067
4700,0.863333,0.872222,4.95333e-005,0.000234
4800,0.856667,0.865555,5.03e-005,0.0003669
4900,0.85,0.871111,0.0001164,0.000300233
5000,0.854444,0.968889,0.000100233,0.000183467
Program Seed
1525162656
